,sessionId,round,p1Id,p2Id,winnerId,p1Rating,p2Rating
0,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,4,768bc86a-d70c-4dac-ae9f-0452842afa07,e1786f1e-96ca-4ac1-acaa-529b4e020dcb,768bc86a-d70c-4dac-ae9f-0452842afa07,529,1400
1,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,4,25728b8a-1ba5-4a5c-bd87-5cd766985c73,89f99ff4-72dc-4a34-b092-747eea64dead,89f99ff4-72dc-4a34-b092-747eea64dead,1532,4000
2,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,4,e3e3272d-dfba-44ae-9d5c-b57dd0145b29,b6fe5590-79c8-4761-8b9e-6af2ac0f4aa0,e3e3272d-dfba-44ae-9d5c-b57dd0145b29,1002,914
3,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,3,89f99ff4-72dc-4a34-b092-747eea64dead,e1786f1e-96ca-4ac1-acaa-529b4e020dcb,89f99ff4-72dc-4a34-b092-747eea64dead,4000,1400
4,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,3,b6fe5590-79c8-4761-8b9e-6af2ac0f4aa0,25728b8a-1ba5-4a5c-bd87-5cd766985c73,25728b8a-1ba5-4a5c-bd87-5cd766985c73,914,1532
5,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,3,768bc86a-d70c-4dac-ae9f-0452842afa07,e3e3272d-dfba-44ae-9d5c-b57dd0145b29,e3e3272d-dfba-44ae-9d5c-b57dd0145b29,529,1001
6,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,2,e3e3272d-dfba-44ae-9d5c-b57dd0145b29,25728b8a-1ba5-4a5c-bd87-5cd766985c73,25728b8a-1ba5-4a5c-bd87-5cd766985c73,1001,1531
7,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,2,89f99ff4-72dc-4a34-b092-747eea64dead,b6fe5590-79c8-4761-8b9e-6af2ac0f4aa0,89f99ff4-72dc-4a34-b092-747eea64dead,4000,914
8,f0e6eb3d-69dd-4877-b17b-cdbecf6cf0c5,2,768bc86a-d70c-4dac-ae9f-0452842afa07,e1786f1e-96ca-4ac1-acaa-529b4e020dcb,e1786f1e-96ca-4ac1-acaa-529b4e020dcb,529,1400
9,6d9948d0-61f8-4670-ae66-0b1c79c1493d,1,768bc86a-d70c-4dac-ae9f-0452842afa07,b6fe5590-79c8-4761-8b9e-6af2ac0f4aa0,768bc86a-d70c-4dac-ae9f-0452842afa07,500,914
10,6d9948d0-61f8-4670-ae66-0b1c79c1493d,1,e3e3272d-dfba-44ae-9d5c-b57dd0145b29,89f99ff4-72dc-4a34-b092-747eea64dead,89f99ff4-72dc-4a34-b092-747eea64dead,1001,4000
11,e4b7ea87-855c-41dd-a790-a2cd54d66414,2,768bc86a-d70c-4dac-ae9f-0452842afa07,e3e3272d-dfba-44ae-9d5c-b57dd0145b29,e3e3272d-dfba-44ae-9d5c-b57dd0145b29,500,1000
12,e4b7ea87-855c-41dd-a790-a2cd54d66414,2,e1786f1e-96ca-4ac1-acaa-529b4e020dcb,b6fe5590-79c8-4761-8b9e-6af2ac0f4aa0,,1400,900
13,e4b7ea87-855c-41dd-a790-a2cd54d66414,2,25728b8a-1ba5-4a5c-bd87-5cd766985c73,89f99ff4-72dc-4a34-b092-747eea64dead,25728b8a-1ba5-4a5c-bd87-5cd766985c73,1500,4000
14,8748e005-d30d-4256-ae64-f743bac0425e,2,404751a8-74a8-46fb-8a3a-4fe93134389a,09d15641-6dcd-4204-a494-638d9fda40a9,404751a8-74a8-46fb-8a3a-4fe93134389a,17,4
15,8748e005-d30d-4256-ae64-f743bac0425e,1,7e4095f7-fd56-48d6-b173-d3c4a20920d7,404751a8-74a8-46fb-8a3a-4fe93134389a,404751a8-74a8-46fb-8a3a-4fe93134389a,17,1
16,f6ca9c77-3c03-4201-840d-c0ba9370d736,1,404751a8-74a8-46fb-8a3a-4fe93134389a,7e4095f7-fd56-48d6-b173-d3c4a20920d7,7e4095f7-fd56-48d6-b173-d3c4a20920d7,1,2
